q_num,py_question_code,py_question_text,py_q_option_code,py_q_option_label
1,"question_code_q1 =""user_entry""","question_label_q1 =""Are you looking to design a new remote camera project, or analyze data that was already collected?""","options_codes_q1 = [""study_design"",""analysis""]","option_labels_q1 = [""Design a new remote camera project"",""Analyze data that was already collected""]"
2,"question_code_q2 =""objective""","quesiton_label_q2 =""What's your objective? Select ""Unknown"" if you're not sure.""","options_codes_q2 = [""obj_inventory"",""obj_divers_rich"",""obj_occupancy"",""obj_rel_abund"",""obj_abundance"",""obj_pop_size"",""obj_density"",""obj_vital_rate"",""obj_behaviour"",""obj_unknown""]","option_labels_q2 = [""Species inventory"",""Species diversity & richness"",""Occupancy"",""Relative abundance"",""Absolute abundance"",""Population size"",""Density"",""Vital rates"",""Behaviour"",""Unknown""]"
4,"question_code_q5 =""study_area_mult""","quesiton_label_q5 =""Do you plan to use data from multiple study areas?""","options_codes_q5 = [""TRUE"",""FALSE""]","option_labels_q5 = [""YES"",""NO""]"
5,"question_code_q6 =""cam_dens_gradient""","quesiton_label_q6 =""Will you place Camera Locations across a known density gradient?""","options_codes_q6 = [""TRUE"",""FALSE""]","option_labels_q6 = [""YES"",""NO""]"
7,"question_code_q9 =""cam_high_dens""","quesiton_label_q9 =""Can cameras be deployed close together (i.e., high camera density)?""","options_codes_q9 = [""TRUE"",""FALSE""]","option_labels_q9 = [""YES"",""NO""]"
10,"question_code_q14 =""survey_dur_mth""","quesiton_label_q14 =""How many months did you sample in total?""","options_codes_q14 = [""NA""]","option_labels_q14 = [""NA""]"
11,"question_code_q15 =""sp_asymptote""","quesiton_label_q15 =""Do you wish to sample long enough to reach the species-accumulation asymptote?""","options_codes_q15 = [""yes"",""no"",""unkn""]","option_labels_q15 = [""YES"",""NO"",""I'm not sure""]"
12,"question_code_q16 =""study_season_num""","quesiton_label_q16 =""How many seasons will the study contain?""","options_codes_q16 = [""NA""]","option_labels_q16 = [""NA""]"
13,"question_code_q17 =""obj_targ_sp""","quesiton_label_q17 =""Are you sampling for a single species or multiple?""","options_codes_q17 = [""single"",""multiple""]","option_labels_q17 = [""Single"",""Multiple""]"
14,"question_code_q18 =""sp_info""","quesiton_label_q18 =""How well is the biology about of the Target Species known?""","options_codes_q18 = [""poor"",""well"",""unkn""]","option_labels_q18 = [""Poorly known"",""Well known"",""I'm not sure""]"
15,"question_code_q19 =""sp_type""","quesiton_label_q19 =""Is the Target Species a carnivore or ungulate?""","options_codes_q19 = [""carnivore"",""ungulate"",""other""]","option_labels_q19 = [""Carnivore"",""Ungulate"",""Other""]"
16,"question_code_q20 =""sp_dens_low""","quesiton_label_q20 =""Does the Target Species occur in low density?""","options_codes_q20 = [""yes"",""no"",""unkn""]","option_labels_q20 = [""YES"",""NO"",""I'm not sure""]"
17,"question_code_q21 =""sp_occ_restr""","quesiton_label_q21 =""Is the distribution of the Target Species highly restricted?""","options_codes_q21 = [""yes"",""no"",""unkn""]","option_labels_q21 = [""YES"",""NO"",""I'm not sure""]"
20,"question_code_q24 =""sp_size""","quesiton_label_q24 =""What is the approximate size of the Target Species?""","options_codes_q24 = [""sm"",""med"",""lg"",""multiple""]","option_labels_q24 = [""Small"",""Medium"",""Large"",""Multiple""]"
21,"question_code_q25 =""sp_rarity""","quesiton_label_q25 =""How rare or common is the Target Species?""","options_codes_q25 = [""common"",""less common"",""rare"",""very-rare"",""unkn"",""multiple""]","option_labels_q25 = [""Common"",""Less common"",""Rare"",""Very rare"",""Unknown"",""Multiple""]"
22,"question_code_q26 =""sp_detprob_cat""","quesiton_label_q26 =""How detectable is the Target Species?""","options_codes_q26 = [""low"",""med"",""high"",""unkn"",""multiple""]","option_labels_q26 = [""Low"",""Medium"",""High"",""Unknown"",""Multiple""]"
23,"question_code_q27 =""sp_behav""","quesiton_label_q27 =""Is the Target Species known or likely to investigate the camera (e.g., moose, coyote) or be camera shy (e.g., lynx)?""","options_codes_q27 = [""exploratory"",""neutral"",""avoidant"",""unkn"",""variable""]","option_labels_q27 = [""Exploratory"",""Neutral"",""Avoidant"",""I'm not sure"",""Variable""]"
24,"question_code_q28 =""sp_behav_season""","quesiton_label_q28 =""Does the [or one of the, if multiple] Target Species' behaviour vary by season?""","options_codes_q28 = [""yes"",""no"",""unkn""]","option_labels_q28 = [""YES"",""NO"",""I'm not sure""]"
25,"question_code_q29 =""marking_code""","quesiton_label_q29 =""Do individuals have natural or artificial marks such that they can be uniquely identified? 
(i.e. are the individuals, population, or species ""marked,"" ""unmarked,"" or ""partially marked"")""","options_codes_q29 = [""Marked"",""Partially marked"",""Unmarked""]","option_labels_q29 = [""Marked"",""Partially marked"",""Unmarked""]"
26,"question_code_q30 =""marking_allsub""","quesiton_label_q30 =""Are ALL or a SUBET individuals naturally/artifically marked?""","options_codes_q30 = [""All"",""Subset""]","option_labels_q30 = [""All"",""Subset""]"
27,"question_code_q31 =""3ormore_cat_ids""","quesiton_label_q31 =""Are there 3+ categories of traits that can be be used to identify individuals? (i.e., information used to identify individuals that can be divided into distinct groups, e.g, sex class, age class, coat colour, markings and antler point count; Clarke et al., 2023)""","options_codes_q31 = [""TRUE"",""FALSE""]","option_labels_q31 = [""YES"",""NO""]"
28,"question_code_q32 =""auxillary_info""","quesiton_label_q32 =""Can additional information be collected/accessed? If so, what type?""","options_codes_q32 = [""cannot_collect"",""dist_to_cam"",""mvmt_speed"",""timelapse"",""timeinfront"",""none""]","option_labels_q32 = [""Cannot be collected"",""Distance from animals to the camera"",""Animal movement speed"",""Collecting time-lapse images"",""Measuring time individuals spend in front of the camera"",""None of these options""]"
29,"question_code_q33 =""aux_count_possible""","quesiton_label_q33 =""Can counts of individuals be determined?""","options_codes_q33 = [""TRUE"",""FALSE""]","option_labels_q33 = [""YES"",""NO""]"
30,"question_code_q34 =""focalarea_calc""","quesiton_label_q34 =""Focal area measured or detections binned by distance?""","options_codes_q34 = [""Measured"",""Binned""]","option_labels_q34 = [""Measured"",""Binned""]"
31,"question_code_q35 =""cam_high_dens""","quesiton_label_q35 =""repeat""","options_codes_q35 = [""TRUE"",""FALSE""]","option_labels_q35 = [""YES"",""NO""]"
32,"question_code_q36 =""sp_common_pop_lg""","quesiton_label_q36 =""Is the study population large?""","options_codes_q36 = [""TRUE"",""FALSE""]","option_labels_q36 = [""YES"",""NO""]"
33,"question_code_q37 =""sp_size""","quesiton_label_q37 =""Are all of the Target Species within a same body size category? If so, which category?""","options_codes_q37 = [""sm"",""med"",""lg"",""multiple""]","option_labels_q37 = [""Small"",""Medium"",""Large"",""Multiple""]"
34,"question_code_q38 =""sp_behav""","quesiton_label_q38 =""Are all of the ""target species"" similarly likely to investigate the camera or stake?
(e.g., moose, coyote) or be camera shy (e.g., ....)
If all are similar, which best describes the likliehood to investigate the camera?""","options_codes_q38 = [""exploratory"",""neutral"",""avoidant"",""unkn"",""variable""]","option_labels_q38 = [""Same behaviour - Exploratory"",""Same behaviour - Neutral"",""Same behaviour - Avoidant"",""I'm not sure"",""Variable""]"
35,"question_code_q39 =""sp_rarity""","quesiton_label_q39 =""Are all of the Target Species similarly rare or common?
(e.g., )
If all are similar, which best describes the Target Species rarity?""","options_codes_q39 = [""common"",""less common"",""rare"",""very-rare"",""unkn"",""multiple""]","option_labels_q39 = [""Common"",""Less common"",""Rare"",""Very rare"",""Unknown"",""Multiple""]"
36,"question_code_q40 =""sp_rarity_rarest""","quesiton_label_q40 =""How common is the rarest Target Species?""","options_codes_q40 = [""common"",""less common"",""rare"",""very-rare"",""unkn"",""multiple""]","option_labels_q40 = [""Common"",""Less common"",""Rare"",""Very rare"",""Unknown"",""Multiple""]"
37,"question_code_q41 =""sp_rarity_leastrare""","quesiton_label_q41 =""How common is the most common Target Species?""","options_codes_q41 = [""common"",""less common"",""rare"",""very-rare"",""unkn"",""multiple""]","option_labels_q41 = [""Common"",""Less common"",""Rare"",""Very rare"",""Unknown"",""Multiple""]"
38,"question_code_q42 =""sp_detprob_cat""","quesiton_label_q42 =""Are all of the Target Species similarly detectable?
(e.g., )
If all are similar, which best describes the Target Species detectability?""","options_codes_q42 = [""low"",""med"",""high"",""unkn"",""multiple""]","option_labels_q42 = [""Low"",""Medium"",""High"",""Unknown"",""Multiple""]"
39,"question_code_q43 =""sp_detprob_cat_most""","quesiton_label_q43 =""How detectable is the most detectable Target Species?""","options_codes_q43 = [""low"",""med"",""high"",""unkn"",""multiple""]","option_labels_q43 = [""Low"",""Medium"",""High"",""Unknown"",""Multiple""]"
40,"question_code_q44 =""sp_detprob_cat_least""","quesiton_label_q44 =""How detectable is the least detectable Target Species?""","options_codes_q44 = [""low"",""med"",""high"",""unkn"",""multiple""]","option_labels_q44 = [""Low"",""Medium"",""High"",""Unknown"",""Multiple""]"
41,"question_code_q45 =""cam_makemod_same""","quesiton_label_q45 =""Do you plan to use cameras of the same make and model?""","options_codes_q45 = [""TRUE"",""FALSE""]","option_labels_q45 = [""YES"",""NO""]"
42,"question_code_q46 =""cam_settings_mult""","quesiton_label_q46 =""Do you plan to use data from cameras with different settings?
(e.g., if pooling data from multiple studies, protocols for camera settings may differ)""","options_codes_q46 = [""TRUE"",""FALSE""]","option_labels_q46 = [""YES"",""NO""]"
43,"question_code_q47 =""cam_protocol_ht_angle""","quesiton_label_q47 =""Was the placement Camera Height and Camera Angle consistent or variable across Camera Locations?""","options_codes_q47 = [""Consistent"",""Variable""]","option_labels_q47 = [""Consistent"",""Variable""]"
44,"question_code_q48 =""cam_direction_ds""","quesiton_label_q48 =""Was the Camera Direction either random or consistent?""","options_codes_q48 = [""TRUE"",""FALSE""]","option_labels_q48 = [""YES"",""NO""]"
45,"question_code_q49 =""bait_lure""","quesiton_label_q49 =""Do you plan to use bait or lure? If so, will you use the same type of bait or lure, or multiple types?""","options_codes_q49 = [""none"",""baitlure_single"",""baitlure_multi""]","option_labels_q49 = [""No bait/lure"",""YES - single type of bait/lure"",""YES - Multiple types of bait/lure""]"
46,"question_code_q50 =""bait_lure_cams""","quesiton_label_q50 =""Will bait/lure be placed at all or a subset of Camera Locations?""","options_codes_q50 = [""baitlure_allcams,baitlure_subsetcams""]","option_labels_q50 = [""All Camera Locations"",""A subset of Camera Locations""]"
47,"question_code_q51 =""targ_feature""","quesiton_label_q51 =""Do you plan to target specific feature(s)? 
(e.g., facing the camera towards a game trail or mineral lick)""","options_codes_q51 = [""TRUE"",""FALSE""]","option_labels_q51 = [""YES"",""NO""]"
48,"question_code_q52 =""targ_feature_same""","quesiton_label_q52 =""Will all cameras target the same feature?""","options_codes_q52 = [""TRUE"",""FALSE""]","option_labels_q52 = [""YES"",""NO""]"
49,"question_code_q53 =""cam_independent""","quesiton_label_q53 =""Will each camera location be treated as an independent sample?""","options_codes_q53 = [""TRUE"",""FALSE""]","option_labels_q53 = [""YES"",""NO""]"
50,"question_code_q54 =""multisamp_per_loc""","quesiton_label_q54 =""Will you collect multiple samples from the same location?""","options_codes_q54 = [""TRUE"",""FALSE""]","option_labels_q54 = [""YES"",""NO""]"
51,"question_code_q55 =""modmixed""","quesiton_label_q55 =""Are you using / Do you plan to use mixed models?""","options_codes_q55 = [""TRUE"",""FALSE""]","option_labels_q55 = [""YES"",""NO""]"
52,"question_code_q56 =""num_det""","quesiton_label_q56 =""How many independent detections?""","options_codes_q56 = [""NA""]","option_labels_q56 = [""NA""]"
53,"question_code_q57 =""num_det_individ""","quesiton_label_q57 =""How many individuals were detected?""","options_codes_q57 = [""NA""]","option_labels_q57 = [""NA""]"
54,"question_code_q58 =""num_recap""","quesiton_label_q58 =""How many recaptures were detected?""","options_codes_q58 = [""NA""]","option_labels_q58 = [""NA""]"
55,"question_code_q59 =""overdispersion""","quesiton_label_q59 =""Is the data overdispersed?
(Poisson GLM vs. negative binomial model)""","options_codes_q59 = [""TRUE"",""FALSE""]","option_labels_q59 = [""YES"",""NO""]"
56,"question_code_q60 =""zeroinflation""","quesiton_label_q60 =""Is the data zero-inflated?""","options_codes_q60 = [""TRUE"",""FALSE""]","option_labels_q60 = [""YES"",""NO""]"
57,"question_code_q61 =""zi_overdispersed""","quesiton_label_q61 =""Try using a zero-inflated model. Is overdispersion still present when accounting for by zero-inflation?
(i.e., is the zero-inflated model still overdispersed)""","options_codes_q61 = [""TRUE"",""FALSE""]","option_labels_q61 = [""YES"",""NO""]"
58,"question_code_q62 =""modmixed""","quesiton_label_q62 =""Are you using / Do you plan to use mixed models?""","options_codes_q62 = [""TRUE"",""FALSE""]","option_labels_q62 = [""YES"",""NO""]"
59,"question_code_q63 =""zi_re_overdispersed""","quesiton_label_q63 =""Try including a random effect for ""Camera Location."" Is the data still zero-inflated when accounting for a ""Camera Location"" random effect?""","options_codes_q63 = [""TRUE"",""FALSE""]","option_labels_q63 = [""YES"",""NO""]"
60,"question_code_q64 =""zi_process""","quesiton_label_q64 =""Do you believe that another process may be contributing to excess zeros? [need to rephrase]""","options_codes_q64 = [""TRUE"",""FALSE""]","option_labels_q64 = [""YES"",""NO""]"
18a,"question_code_q22 =""data_hr""","quesiton_label_q22 =""Is home range size information available for your Target Species (can be taken from the literature)? 
If so, enter the home range diameter (in metres)""","options_codes_q22 = [""integer"",""NA""]","option_labels_q22 = [""YES"",""NO""]"
18b,"question_code_q =""hr_size""","quesiton_label_q =""If so, enter the home range diameter (in metres)""","options_codes_q = [""""]","option_labels_q = [""""]"
3a,"question_code_q3 =""num_cams_limited""","quesiton_label_q3 =""Do you have a limited number of cameras?""","options_codes_q3 = [""TRUE"",""FALSE""]","option_labels_q3 = [""YES"",""NO""]"
3b,"question_code_q4 =""num_cams_avail""","quesiton_label_q4 =""If so, how many?""","options_codes_q4 = [""NA""]","option_labels_q4 = [""NA""]"
6a,"question_code_q7 =""cam_strat_covar""","quesiton_label_q7 =""Do you plan to strategically place camera locations to include multiple habitats or otherwise differing categories (e.g., different land cover types, or near vs. far from a disturbance)""","options_codes_q7 = [""TRUE"",""FALSE""]","option_labels_q7 = [""YES"",""NO""]"
6b,"question_code_q8 =""cam_strat_covar_num""","quesiton_label_q8 =""If so, how many covariates?
(e.g., 5 different habitat types would be 5 covariates)""","options_codes_q8 = [""NA""]","option_labels_q8 = [""NA""]"
8a,"question_code_q10 =""surv_dur_min_known""","quesiton_label_q10 =""Is there a minimum number of months you can sample in total?""","options_codes_q10 = [""TRUE"",""FALSE""]","option_labels_q10 = [""YES"",""NO""]"
8b,"question_code_q11 =""surv_dur_mth_min""","quesiton_label_q11 =""If so, how many?""","options_codes_q11 = [""NA""]","option_labels_q11 = [""NA""]"
9a,"question_code_q12 =""surv_dur_min_known""","quesiton_label_q12 =""Is there a maximum number of months you can sample?""","options_codes_q12 = [""TRUE"",""FALSE""]","option_labels_q12 = [""YES"",""NO""]"
9b,"question_code_q13 =""surv_dur_mth_max

""","quesiton_label_q13 =""If so, how many?""","options_codes_q13 = [""NA""]","option_labels_q13 = [""NA""]"
